team,opponent,date,is_home,result,goals_for,goals_against,win_rate,world_cup_win_rate,avg_goals_scored,avg_goals_conceded,avg_goal_diff,players_value,fifa_ranking,opp_win_rate,opp_avg_gs,opp_avg_gc,opp_players_value,opp_fifa_ranking,ranking_diff,value_ratio,form_wins_5,form_draws_5,form_losses_5,form_pts_5,form_gf_5,form_ga_5,form_gd_5,form_home_wr_5,form_away_wr_5
Afrique du Sud,Sierra Leone,24.09.2022,1,W,4,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,2.0,1.0,8.0,5.0,5.0,0.0,0.3333333333333333,0.5
Afrique du Sud,Bénin,25.03.2025,0,W,2,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,3.0,2.0,0.0,11.0,9.0,3.0,6.0,0.5,1.0
Afrique du Sud,Algérie,26.03.2024,0,D,3,3,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.65,1.9,0.59,9880000.0,28.0,32.0,0.19129554655870445,3.0,2.0,0.0,11.0,10.0,3.0,7.0,0.5,1.0
Afrique du Sud,Mozambique,26.06.2024,1,D,1,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,3.0,0.0,9.0,11.0,5.0,6.0,0.3333333333333333,0.5
Afrique du Sud,Égypte,26.12.2025,0,L,0,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.6,1.52,0.71,4480000.0,29.0,31.0,0.421875,2.0,3.0,0.0,9.0,12.0,6.0,6.0,0.3333333333333333,0.5
Afrique du Sud,Panama,27.03. 18:00,1,D,1,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.475,1.52,1.31,1330000.0,33.0,27.0,1.4210526315789473,2.0,2.0,1.0,8.0,10.0,5.0,5.0,0.5,0.3333333333333333
Afrique du Sud,Botswana,27.09.2022,1,W,1,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,1.0,3.0,1.0,6.0,7.0,6.0,1.0,0.0,0.3333333333333333
Afrique du Sud,Libéria,28.03.2023,0,W,2,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,1.0,3.0,1.0,6.0,6.0,6.0,0.0,0.3333333333333333,0.0
Afrique du Sud,Angola,28.08.2022,0,L,0,2,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,2.0,1.0,8.0,5.0,4.0,1.0,0.3333333333333333,0.5
Afrique du Sud,France,29.03.2022,0,L,0,5,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.65,2.16,0.89,58580000.0,1.0,59.0,0.03226357118470468,2.0,1.0,2.0,7.0,4.0,5.0,-1.0,0.5,0.3333333333333333
Afrique du Sud,Nicaragua,29.05. 18:00,1,D,0,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,1.0,2.0,7.0,4.0,9.0,-5.0,0.5,0.3333333333333333
Afrique du Sud,Botswana,29.06.2024,1,D,0,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,1.0,2.0,7.0,3.0,8.0,-5.0,0.5,0.3333333333333333
Afrique du Sud,Angola,29.07.2025,1,D,1,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,1.0,2.0,2.0,5.0,2.0,8.0,-6.0,0.0,0.3333333333333333
Afrique du Sud,Zimbabwe,29.12.2025,0,W,3,2,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,0.0,3.0,2.0,3.0,1.0,8.0,-7.0,0.0,0.0
Afrique du Sud,Maroc,30.01.2024,0,W,2,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.7125,1.89,0.65,19170000.0,7.0,53.0,0.09859154929577464,1.0,3.0,1.0,6.0,4.0,8.0,-4.0,0.0,0.5
Afrique du Sud,Comores,30.07.2022,1,D,0,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,3.0,0.0,9.0,6.0,3.0,3.0,0.0,1.0
Afrique du Sud,Panama,31.03. 19:30,1,L,1,2,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.475,1.52,1.31,1330000.0,33.0,27.0,1.4210526315789473,2.0,3.0,0.0,9.0,6.0,3.0,3.0,0.0,1.0
Algérie,Niger,02.11.2022,1,W,2,0,0.65,0.0,1.9,0.59,1.31,9880000.0,28.0,0.5,0.95,1.43,4940000.0,75.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0
